code_3,code_1,script,name,family,type,tok_code,proxy,auto_assigned,default_code_1,default_script
bpy,,Beng,Bishnupriya,Indo-European,IndicNLPTokenizer,bn,TRUE,TRUE,FALSE,TRUE
bqc,,Latn,Boko (Benin),Niger-Congo,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bqj,,Latn,Bandial,Niger-Congo,StanzaTokenizer,wo,TRUE,TRUE,FALSE,TRUE
bqp,,Latn,Busa,Niger-Congo,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bre,br,Latn,Breton,Indo-European,StanzaTokenizer,cy,TRUE,TRUE,TRUE,TRUE
brh,,Arab,Brahui,Dravidian,WhitespaceTokenizer,,TRUE,TRUE,FALSE,TRUE
bru,,Latn,Eastern Bru,Austro-Asiatic,SpaCyTokenizer,vi,TRUE,TRUE,FALSE,TRUE
brx,,Deva,Bodo (India),Sino-Tibetan,IndicNLPTokenizer,hi,FALSE,FALSE,FALSE,FALSE
brx,,Latn,Bodo (India),Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bsc,,Latn,Bassari,Niger-Congo,StanzaTokenizer,wo,TRUE,TRUE,FALSE,TRUE
bsn,,Latn,Barasana-Eduria,Tucanoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bsp,,Latn,Baga Sitemu,Niger-Congo,StanzaTokenizer,wo,TRUE,TRUE,FALSE,TRUE
bsq,,Latn,Bassa,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bss,,Latn,Akoose,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
btd,,Latn,Batak Dairi,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bth,,Latn,Biatah Bidayuh,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bts,,Latn,Batak Simalungun,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
btt,,Latn,Bete-Bendi,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
btx,,Latn,Batak Karo,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bua,,Cyrl,Buriat,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bud,,Latn,Ntcham,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bug,,Latn,Buginese,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
buk,,Latn,Bugawac,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bul,bg,Cyrl,Bulgarian,Indo-European,SpaCyTokenizer,bg,FALSE,FALSE,TRUE,TRUE
bum,,Latn,Bulu (Cameroon),Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bus,,Latn,Bokobaru,Niger-Congo,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bvc,,Latn,Baelelea,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bvd,,Latn,Baeggu,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bvr,,Latn,Burarra,Australian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bvz,,Latn,Bauzi,East Geelvink Bay,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bwd,,Latn,Bwaidoka,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bwi,,Latn,Baniwa,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bwq,,Latn,Southern Bobo Madaré,Niger-Congo,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bwu,,Latn,Buli (Ghana),Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bxh,,Latn,Buhutu,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bxr,,Cyrl,Russia Buriat,Mongolic,StanzaTokenizer,bxr,FALSE,FALSE,FALSE,TRUE
byr,,Latn,Baruya,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
byv,,Latn,Medumba,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
byx,,Latn,Qaqet,East New Britain,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bzd,,Latn,Bribri,Chibchan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bzh,,Latn,Mapos Buang,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bzi,,Thai,Bisu,Sino-Tibetan,ThaiTokenizer,,TRUE,TRUE,FALSE,TRUE
bzj,,Latn,Belize Kriol English,Creole,StanzaTokenizer,pcm,TRUE,TRUE,FALSE,TRUE
caa,,Latn,Chortí,Mayan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cab,,Latn,Garifuna,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cac,,Latn,Chuj,Mayan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
caf,,Latn,Southern Carrier,Eyak-Athabaskan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cag,,Latn,Nivaclé,Matacoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cak,,Latn,Kaqchikel,Mayan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cao,,Latn,Chácobo,Panoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cap,,Latn,Chipaya,Chipaya-Uru,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
caq,,Latn,Car Nicobarese,Austro-Asiatic,SpaCyTokenizer,vi,TRUE,TRUE,FALSE,TRUE
car,,Latn,Galibi Carib,Cariban,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cas,,Latn,Tsimané,Mosetenan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cat,ca,Latn,Catalan,Indo-European,SpaCyTokenizer,ca,FALSE,FALSE,TRUE,TRUE
cav,,Latn,Cavineña,Tacanan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cax,,Latn,Chiquitano,Language isolate,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cbc,,Latn,Carapana,Tucanoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cbi,,Latn,Chachi,Barbacoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cbk,,Latn,Chavacano,Creole,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cbr,,Latn,Cashibo-Cacataibo,Panoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cbs,,Latn,Cashinahua,Panoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cbt,,Latn,Chayahuita,Cahuapanan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cbu,,Latn,Candoshi-Shapra,Language isolate,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cbv,,Latn,Cacua,Puinavean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cce,,Latn,Chopi,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
cco,,Latn,Comaltepec Chinantec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ccp,,Latn,Chakma,Indo-European,StanzaTokenizer,kmr,TRUE,TRUE,FALSE,TRUE
cdf,,Latn,Chiru,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ceb,,Latn,Cebuano,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
ceg,,Latn,Chamacoco,Zamucoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cek,,Latn,Eastern Khumi Chin,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ces,cs,Latn,Czech,Indo-European,SpaCyTokenizer,cs,FALSE,FALSE,TRUE,TRUE
cfm,,Latn,Falam Chin,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cgc,,Latn,Kagayanen,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
cgg,,Latn,Chiga,Niger-Congo,SpaCyTokenizer,lg,TRUE,TRUE,FALSE,TRUE
cha,ch,Latn,Chamorro,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,TRUE,TRUE
chd,,Latn,Highland Oaxaca Chontal,Tequistlatecan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
che,ce,Cyrl,Chechen,Nakh-Daghestanian,SpaCyTokenizer,xx,TRUE,TRUE,TRUE,TRUE
chf,,Latn,Tabasco Chontal,Mayan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
chj,,Latn,Ojitlán Chinantec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
chk,,Latn,Chuukese,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
chm,,Cyrl,Mari (Russia),,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cho,,Latn,Choctaw,Muskogean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
chq,,Latn,Quiotepec Chinantec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
chr,,Cher,Cherokee,Iroquoian,WhitespaceTokenizer,,TRUE,TRUE,FALSE,TRUE
chr,,Latn,Cherokee,Iroquoian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,FALSE
chu,cu,Cyrl,Church Slavic,Indo-European,StanzaTokenizer,cu,FALSE,FALSE,TRUE,TRUE
chv,cv,Cyrl,Chuvash,Turkic,SpaCyTokenizer,xx,TRUE,TRUE,TRUE,TRUE
chw,,Latn,Chuwabu,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
chz,,Latn,Ozumacín Chinantec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cjk,,Latn,Chokwe,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
cjo,,Latn,Ashéninka Pajonal,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cjp,,Latn,Cabécar,Chibchan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cjs,,Cyrl,Shor,Turkic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cjv,,Latn,Chuave,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ckb,ku,Arab,Central Kurdish,Indo-European,IndicNLPTokenizer,ur,TRUE,TRUE,TRUE,TRUE
ckm,,Latn,Chakavian,Indo-European,SpaCyTokenizer,sr,TRUE,TRUE,FALSE,TRUE
cko,,Latn,Anufo,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
ckt,,Cyrl,Chukot,Chukotko-Kamchatkan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cle,,Latn,Lealao Chinantec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
clu,,Latn,Caluyanun,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
cly,,Latn,Eastern Highland Chatino,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cme,,Latn,Cerma,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
cmn,zh,Hani,Mandarin Chinese,Sino-Tibetan,SpaCyTokenizer,zh,FALSE,FALSE,TRUE,TRUE
cmo,,Khmr,Central Mnong,Austro-Asiatic,KhmerTokenizer,,FALSE,FALSE,FALSE,FALSE
cmo,,Latn,Central Mnong,Austro-Asiatic,SpaCyTokenizer,vi,TRUE,TRUE,FALSE,TRUE
cmr,,Latn,Mro-Khimi Chin,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cnh,,Latn,Hakha Chin,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cni,,Latn,Asháninka,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cnk,,Latn,Khumi Chin,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cnl,,Latn,Lalana Chinantec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cnr,sh,Latn,Montenegrin,Indo-European,SpaCyTokenizer,sr,FALSE,FALSE,TRUE,TRUE
cnt,,Latn,Tepetotutla Chinantec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cnw,,Latn,Ngawn Chin,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
coe,,Latn,Koreguaje,Tucanoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cof,,Latn,Colorado,Barbacoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cok,,Latn,Santa Teresa Cora,Uto-Aztecan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
con,,Latn,Cofán,Language isolate,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cop,,Copt,Coptic,Afro-Asiatic,StanzaTokenizer,cop,FALSE,FALSE,FALSE,TRUE
cor,kw,Latn,Cornish,Indo-European,StanzaTokenizer,cy,TRUE,TRUE,TRUE,TRUE
cos,co,Latn,Corsican,Indo-European,SpaCyTokenizer,es,TRUE,TRUE,TRUE,TRUE
cot,,Latn,Caquinte,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cou,,Latn,Wamey,Niger-Congo,StanzaTokenizer,wo,TRUE,TRUE,FALSE,TRUE
cpa,,Latn,Palantla Chinantec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cpb,,Latn,Ucayali-Yurúa Ashéninka,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cpc,,Latn,Ajyíninka Apurucayali,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cpu,,Latn,Pichis Ashéninka,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cpy,,Latn,South Ucayali Ashéninka,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cre,cr,Cans,Cree,,WhitespaceTokenizer,,TRUE,TRUE,FALSE,TRUE
cre,cr,Latn,Cree,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,FALSE
crh,,Cyrl,Crimean Tatar,Turkic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,FALSE
crh,,Latn,Crimean Tatar,Turkic,SpaCyTokenizer,tr,TRUE,TRUE,FALSE,TRUE
cri,,Latn,Sãotomense,Creole,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
crj,cr,Cans,Southern East Cree,Algic,WhitespaceTokenizer,,TRUE,TRUE,FALSE,TRUE
crk,cr,Cans,Plains Cree,Algic,WhitespaceTokenizer,,TRUE,TRUE,FALSE,FALSE
crk,cr,Latn,Plains Cree,Algic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
crl,cr,Cans,Northern East Cree,Algic,WhitespaceTokenizer,,TRUE,TRUE,FALSE,TRUE
crm,cr,Cans,Moose Cree,Algic,WhitespaceTokenizer,,TRUE,TRUE,TRUE,TRUE
crn,,Latn,El Nayar Cora,Uto-Aztecan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
crs,,Latn,Seselwa Creole French,Creole,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
crt,,Latn,Iyojwa'ja Chorote,Matacoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
crx,,Latn,Carrier,Eyak-Athabaskan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
csb,,Latn,Kashubian,Indo-European,SpaCyTokenizer,pl,TRUE,TRUE,FALSE,TRUE
csk,,Latn,Jola-Kasa,Niger-Congo,StanzaTokenizer,wo,TRUE,TRUE,FALSE,TRUE
cso,,Latn,Sochiapam Chinantec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
csw,cr,Latn,Swampy Cree,Algic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
csy,,Latn,Siyin Chin,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cta,,Latn,Tataltepec Chatino,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ctd,,Latn,Tedim Chin,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cto,,Latn,Emberá-Catío,Chocoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ctp,,Latn,Western Highland Chatino,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ctu,,Latn,Chol,Mayan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cub,,Latn,Cubeo,Tucanoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cuc,,Latn,Usila Chinantec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cui,,Latn,Cuiba,Guajiboan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cuk,,Latn,San Blas Kuna,Chibchan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cul,,Latn,Culina,Arauan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cut,,Latn,Teutila Cuicatec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cux,,Latn,Tepeuxila Cuicatec,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cwd,cr,Cans,Woods Cree,Algic,WhitespaceTokenizer,,TRUE,TRUE,FALSE,TRUE
cwe,,Latn,Kwere,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
cwt,,Latn,Kuwaataay,Niger-Congo,StanzaTokenizer,wo,TRUE,TRUE,FALSE,TRUE
cya,,Latn,Nopala Chatino,Otomanguean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
cym,cy,Latn,Welsh,Indo-European,StanzaTokenizer,cy,FALSE,FALSE,TRUE,TRUE
czt,,Latn,Zotung Chin,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
daa,,Latn,Dangaléat,Afro-Asiatic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dad,,Latn,Marik,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
daf,,Latn,,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dag,,Latn,Dagbani,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
dah,,Latn,Gwahatike,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dak,,Latn,Dakota,Siouan-Catawban,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dan,da,Latn,Danish,Indo-European,SpaCyTokenizer,da,FALSE,FALSE,TRUE,TRUE
dar,,Cyrl,Dargwa,Nakh-Daghestanian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dbq,,Latn,Daba,Afro-Asiatic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ddg,,Latn,Fataluku,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ddn,,Latn,Dendi (Benin),Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ded,,Latn,Dedua,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
des,,Latn,Desano,Tucanoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
deu,de,Latn,German,Indo-European,SpaCyTokenizer,de,FALSE,FALSE,TRUE,TRUE
dga,,Latn,Southern Dagaare,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
dgc,,Latn,Casiguran Dumagat Agta,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
dgi,,Latn,Northern Dagara,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
dgr,,Latn,Tlicho,Eyak-Athabaskan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dgz,,Latn,Daga,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dhg,,Latn,Dhangu-Djangu,Australian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dhm,,Latn,Zemba,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
dhv,,Latn,Dehu,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
did,,Latn,Didinga,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dig,,Latn,Digo,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
dik,,Latn,Southwestern Dinka,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
din,,Latn,Dinka,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dip,,Latn,Northeastern Dinka,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
diq,,Latn,Dimli (individual language),Indo-European,StanzaTokenizer,kmr,TRUE,TRUE,FALSE,TRUE
dis,,Latn,Dimasa,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
diu,,Latn,Diriku,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
div,dv,Thaa,Dhivehi,Indo-European,WhitespaceTokenizer,,TRUE,TRUE,TRUE,TRUE
dje,,Latn,Zarma,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
djk,,Latn,Eastern Maroon Creole,Creole,StanzaTokenizer,pcm,TRUE,TRUE,FALSE,TRUE
djr,,Latn,Djambarrpuyngu,Australian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dks,,Latn,Southeastern Dinka,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dln,,Latn,Darlong,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dng,,Cyrl,Dungan,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dnj,,Latn,Dan,Niger-Congo,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dnw,,Latn,Western Dani,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dob,,Latn,Dobu,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
doi,,Deva,Dogri (macrolanguage),,WhitespaceTokenizer,,FALSE,FALSE,FALSE,TRUE
dop,,Latn,Lukpa,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
dos,,Latn,Dogosé,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
dow,,Latn,Doyayo,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
drg,,Latn,Rungus,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
dru,,Latn,Rukai,Austronesian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dsb,,Latn,Lower Sorbian,Indo-European,SpaCyTokenizer,dsb,FALSE,FALSE,FALSE,TRUE
dsh,,Latn,Daasanach,Afro-Asiatic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dtb,,Latn,Labuk-Kinabatangan Kadazan,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
dtp,,Latn,Kadazan Dusun,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
dts,,Latn,Toro So Dogon,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
dty,ne,Deva,Dotyali,Indo-European,IndicNLPTokenizer,ne,FALSE,FALSE,FALSE,TRUE
dua,,Latn,Duala,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
due,,Latn,Umiray Dumaget Agta,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
dug,,Latn,Duruma,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
duo,,Latn,Dupaninan Agta,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
dur,,Latn,Dii,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
dwr,,Latn,Dawro,Afro-Asiatic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dww,,Latn,Dawawa,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
dyi,,Latn,Djimini Senoufo,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
dyo,,Latn,Jola-Fonyi,Niger-Congo,StanzaTokenizer,wo,TRUE,TRUE,FALSE,TRUE
dyu,,Latn,Dyula,Niger-Congo,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
dzo,dz,Tibt,Dzongkha,Sino-Tibetan,TibetanTokenizer,,FALSE,FALSE,TRUE,TRUE
ebk,,Latn,Eastern Bontok,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
efi,,Latn,Efik,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
eka,,Latn,Ekajuk,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
ekk,et,Latn,Standard Estonian,Uralic,SpaCyTokenizer,et,FALSE,FALSE,TRUE,TRUE
eko,,Latn,Koti,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
ell,el,Grek,Modern Greek (1453-),Indo-European,SpaCyTokenizer,el,FALSE,FALSE,TRUE,TRUE
eme,,Latn,Emerillon,Tupian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
emi,,Latn,Mussau-Emira,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
eml,,Latn,,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
emp,,Latn,Northern Emberá,Chocoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
enb,,Latn,Markweeta,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
eng,en,Latn,English,Indo-European,SpaCyTokenizer,en,FALSE,FALSE,TRUE,TRUE
enl,,Latn,Enlhet,Mascoyan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
enm,,Latn,Middle English (1100-1500),,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
enq,,Latn,Enga,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
enx,,Latn,Enxet,Mascoyan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
